feature,importance
booking_lead_time_avg,0.278124788269609
min_nights_avg,0.11934515449552961
country_United Kingdom,0.10494315262823106
length_of_stay_avg,0.09630206257431928
vacant_days,0.056856073131434225
occupancy,0.05480082324976095
reserved_days,0.03170755244504244
country_Netherlands,0.0196874427009471
country_Spain,0.01661943055457578
date_2025-08-01,0.01650378114166361
country_Iceland,0.01565962531507001
date_2025-07-01,0.015508495145477025
country_Switzerland,0.014204011912260412
country_Ireland,0.012733515874255443
country_Italy,0.01176480510654657
date_2025-06-01,0.009736414936363475
country_Ukraine,0.009132260628848261
country_Turkey,0.008253916231391281
date_2025-03-01,0.008131033880121343
date_2025-02-01,0.0077410247255980036
date_2025-09-01,0.007376442512167873
date_2025-12-01,0.006649526866121114
country_Germany,0.006595117123516819
date_2025-04-01,0.006205356046938472
date_2026-01-01,0.006170057114160414
country_Poland,0.006047845640817421
date_2025-05-01,0.005919456740940557
country_Denmark,0.005517003569993861
date_2025-10-01,0.005516073048310284
date_2025-11-01,0.005467363806860024
country_France,0.004997098359638715
country_Portugal,0.00414976409975813
country_Norway,0.003965942426125074
country_Belgium,0.003633438593446542
country_Sweden,0.0024973521732152833
country_Romania,0.0019345015402715507
country_Finland,0.0018530471213385102
country_Albania,0.001670872718792599
country_Bulgaria,0.0015231339310267545
country_Greece,0.0011502238977200952
country_Croatia,0.000953020076445936
country_Serbia,0.0005400886412528813
country_Malta,0.0003743182747780045
country_Slovakia,0.0003030375256598802
country_Luxembourg,0.0002310505270616972
country_North Macedonia,0.00020705680894715167
country_Cyprus,0.00020198984272512462
country_Austria,0.00018312486970182957
country_Slovenia,0.00018052545937394788
country_Lithuania,0.00013524065937316982
country_Hungary,6.80954227373077e-05
country_Montenegro,1.8662038062206e-05
country_Estonia,5.7648632897415195e-06
country_Latvia,3.042712386460859e-06
