column,dtype,missing_rate
listing_id,object,0.0
listing_type,str,0.921285439676584
room_type,str,0.921285439676584
cover_photo_url,str,0.9214728769222639
photos_count,str,0.9214728769222639
host_id,str,0.921285439676584
superhost,str,0.9212912196797548
latitude,str,0.9212870911060614
longitude,str,0.92133167970195
guests,str,0.9299257187021085
bedrooms,str,0.9351186386936532
beds,str,0.9221053744120911
baths,str,0.9215620541140411
registration,str,0.9215042540823337
amenities,str,0.9215901284151562
instant_book,str,0.9837226853564446
professional_management,str,0.9297531443217248
min_nights,str,0.9222118916133806
cancellation_policy,str,0.9213118625482217
currency,str,0.9212978253976642
cleaning_fee,str,0.9229401720128944
extra_guest_fee,str,0.9239888297310151
num_reviews,str,0.9213638825767585
rating_overall,str,0.9234438580034878
rating_accuracy,str,0.9234438580034878
rating_checkin,str,0.9234438580034878
rating_cleanliness,str,0.9234438580034878
rating_communication,str,0.9234438580034878
rating_location,str,0.9234438580034878
rating_value,str,0.9234339494266237
ttm_revenue,str,0.921285439676584
ttm_revenue_native,str,0.921285439676584
ttm_avg_rate,str,0.921285439676584
ttm_avg_rate_native,str,0.921285439676584
ttm_occupancy,str,0.921285439676584
ttm_adjusted_occupancy,str,0.921285439676584
ttm_revpar,str,0.921285439676584
ttm_revpar_native,str,0.921285439676584
ttm_adjusted_revpar,str,0.921285439676584
ttm_adjusted_revpar_native,str,0.921285439676584
ttm_reserved_days,str,0.921285439676584
ttm_blocked_days,str,0.921285439676584
ttm_available_days,str,0.921285439676584
ttm_total_days,str,0.921285439676584
l90d_revenue,str,0.921285439676584
l90d_revenue_native,str,0.921285439676584
l90d_avg_rate,str,0.921285439676584
l90d_avg_rate_native,str,0.921285439676584
l90d_occupancy,str,0.921285439676584
l90d_adjusted_occupancy,str,0.921285439676584
l90d_revpar,str,0.921285439676584
l90d_revpar_native,str,0.921285439676584
l90d_adjusted_revpar,str,0.921285439676584
l90d_adjusted_revpar_native,str,0.921285439676584
l90d_reserved_days,str,0.921285439676584
l90d_blocked_days,str,0.921285439676584
l90d_available_days,str,0.921285439676584
l90d_total_days,str,0.921677654177456
country,str,0.0
state,str,0.0
city,str,0.0
source_file,str,0.0
period,str,0.0
date,object,0.07918439200972362
vacant_days,float64,0.07918439200972362
reserved_days,float64,0.07918439200972362
occupancy,float64,0.07918439200972362
revenue,float64,0.07918439200972362
rate_avg,float64,0.07918439200972362
booked_rate_avg,float64,0.40729700628864346
booking_lead_time_avg,float64,0.44186390239391216
length_of_stay_avg,float64,0.44186390239391216
min_nights_avg,float64,0.10024176927548487
native_booked_rate_avg,float64,0.40729700628864346
native_rate_avg,float64,0.07918439200972362
native_revenue,float64,0.07918439200972362
